ekicode,name
1130101,東京
1130102,新橋
1130103,品川
1130201,大崎
1130202,五反田
1130203,目黒
1130204,恵比寿
1130205,渋谷
1130206,原宿
1130207,代々木
1130208,新宿
1130209,新大久保
1130210,高田馬場
1130211,目白
1130212,池袋
1130213,大塚
1130214,巣鴨
1130215,駒込
1130216,田端
1130217,西日暮里
1130218,日暮里
1130219,鶯谷
1130220,上野
1130221,御徒町
1130222,秋葉原
1130223,神田
1130224,東京
1130225,有楽町
1130226,新橋
1130227,浜松町
1130228,田町
1130230,高輪ゲートウェイ
1130229,品川
1130317,矢野口
1130318,稲城長沼
1130319,南多摩
1130320,府中本町
1130321,分倍河原
1130329,西府
1130322,谷保
1130323,矢川
1130324,西国立
1130325,立川
1130501,府中本町
1130502,北府中
1130503,西国分寺
1130504,新小平
1130505,新秋津
1130610,成瀬
1130611,町田
1130617,相原
1130618,八王子みなみ野
1130619,片倉
1130620,八王子
1130801,東京
1130802,新橋
1130803,品川
1130804,西大井
1131101,東京
1131102,四ツ谷
1131103,新宿
1131104,吉祥寺
1131105,三鷹
1131106,国分寺
1131107,立川
1131108,日野
1131109,豊田
1131110,八王子
1131111,西八王子
1131112,高尾
1131201,東京
1131202,神田
1131203,御茶ノ水
1131207,四ツ谷
1131211,新宿
1131214,中野
1131215,高円寺
1131216,阿佐ケ谷
1131217,荻窪
1131218,西荻窪
1131219,吉祥寺
1131220,三鷹
1131221,武蔵境
1131222,東小金井
1131223,武蔵小金井
1131224,国分寺
1131225,西国分寺
1131226,国立
1131227,立川
1131228,日野
1131229,豊田
1131230,八王子
1131231,西八王子
1131232,高尾
1131301,三鷹
1131302,吉祥寺
1131303,西荻窪
1131304,荻窪
1131305,阿佐ケ谷
1131306,高円寺
1131307,中野
1131308,東中野
1131309,大久保
1131310,新宿
1131311,代々木
1131312,千駄ケ谷
1131313,信濃町
1131314,四ツ谷
1131315,市ケ谷
1131316,飯田橋
1131317,水道橋
1131318,御茶ノ水
1131319,秋葉原
1131320,浅草橋
1131321,両国
1131322,錦糸町
1131323,亀戸
1131324,平井
1131325,新小岩
1131326,小岩
1131401,東京
1131402,新日本橋
1131403,馬喰町
1131404,錦糸町
1131405,新小岩
1131501,立川
1131502,西立川
1131503,東中神
1131504,中神
1131505,昭島
1131506,拝島
1131507,牛浜
1131508,福生
1131509,羽村
1131510,小作
1131511,河辺
1131512,東青梅
1131513,青梅
1131514,宮ノ平
1131515,日向和田
1131516,石神前
1131517,二俣尾
1131518,軍畑
1131519,沢井
1131520,御嶽
1131521,川井
1131522,古里
1131523,鳩ノ巣
1131524,白丸
1131525,奥多摩
1131601,拝島
1131602,熊川
1131603,東秋留
1131604,秋川
1131605,武蔵引田
1131606,武蔵増戸
1131607,武蔵五日市
1131701,八王子
1131702,北八王子
1131703,小宮
1131704,拝島
1131705,東福生
1131706,箱根ケ崎
1131901,上野
1131902,尾久
1131903,赤羽
1132001,上野
1132002,日暮里
1132003,三河島
1132004,南千住
1132005,北千住
1132006,綾瀬
1132007,亀有
1132008,金町
1132101,大崎
1132102,恵比寿
1132103,渋谷
1132104,新宿
1132105,池袋
1132106,板橋
1132107,十条
1132108,赤羽
1132109,北赤羽
1132110,浮間舟渡
1132301,上野
1132302,尾久
1132303,赤羽
1132601,東京
1132602,八丁堀
1132603,越中島
1132604,潮見
1132605,新木場
1132606,葛西臨海公園
1132805,池袋
1132806,新宿
1132815,高尾
1132816,八王子
1132817,立川
1132818,国分寺
1132819,三鷹
1132820,吉祥寺
1132807,渋谷
1132808,品川
1132809,東京
1133210,赤羽
1133211,東十条
1133212,王子
1133213,上中里
1133214,田端
1133215,西日暮里
1133216,日暮里
1133217,鶯谷
1133218,上野
1133219,御徒町
1133220,秋葉原
1133221,神田
1133222,東京
1133223,有楽町
1133224,新橋
1133225,浜松町
1133226,田町
1133236,高輪ゲートウェイ
1133227,品川
1133228,大井町
1133229,大森
1133230,蒲田
1133302,赤羽
1133303,池袋
1133304,新宿
1133305,渋谷
1133306,恵比寿
1133307,大崎
1133308,西大井
1134301,東京
1134302,上野
2100101,池袋
2100102,北池袋
2100103,下板橋
2100104,大山
2100105,中板橋
2100106,ときわ台
2100107,上板橋
2100108,東武練馬
2100109,下赤塚
2100110,成増
2100201,浅草
2100202,とうきょうスカイツリー
2100203,押上〈スカイツリー前〉
2100204,曳舟
2100205,東向島
2100206,鐘ヶ淵
2100207,堀切
2100208,牛田
2100209,北千住
2100210,小菅
2100211,五反野
2100212,梅島
2100213,西新井
2100214,竹ノ塚
2100501,曳舟
2100502,小村井
2100503,東あずま
2100504,亀戸水神
2100505,亀戸
2100601,西新井
2100602,大師前
2200101,池袋
2200102,椎名町
2200103,東長崎
2200104,江古田
2200105,桜台
2200106,練馬
2200107,中村橋
2200108,富士見台
2200109,練馬高野台
2200110,石神井公園
2200111,大泉学園
2200112,保谷
2200113,ひばりヶ丘
2200114,東久留米
2200115,清瀬
2200116,秋津
2200301,小竹向原
2200302,新桜台
2200303,練馬
2200401,練馬
2200402,豊島園
2200601,多摩湖
2200701,西武新宿
2200702,高田馬場
2200703,下落合
2200704,中井
2200705,新井薬師前
2200706,沼袋
2200707,野方
2200708,都立家政
2200709,鷺ノ宮
2200710,下井草
2200711,井荻
2200712,上井草
2200713,上石神井
2200714,武蔵関
2200715,東伏見
2200716,西武柳沢
2200717,田無
2200718,花小金井
2200719,小平
2200720,久米川
2200721,東村山
2200801,小平
2200802,萩山
2200803,小川
2200804,東大和市
2200805,玉川上水
2200806,武蔵砂川
2200807,西武立川
2200808,拝島
2200901,東村山
2200902,西武園
2201001,国分寺
2201002,恋ヶ窪
2201003,鷹の台
2201004,小川
2201005,東村山
2201101,国分寺
2201102,一橋学園
2201103,青梅街道
2201105,萩山
2201106,八坂
2201107,武蔵大和
2201108,多摩湖
2201201,武蔵境
2201202,新小金井
2201203,多磨
2201204,白糸台
2201205,競艇場前
2201206,是政
2300101,京成上野
2300102,日暮里
2300103,新三河島
2300104,町屋
2300105,千住大橋
2300106,京成関屋
2300107,堀切菖蒲園
2300108,お花茶屋
2300109,青砥
2300110,京成高砂
2300111,京成小岩
2300112,江戸川
2300201,押上（スカイツリー前）
2300202,京成曳舟
2300203,八広
2300204,四ツ木
2300205,京成立石
2300206,青砥
2300207,京成高砂
2300301,京成高砂
2300302,柴又
2300303,京成金町
2300601,京成上野
2300602,日暮里
2300603,青砥
2300604,京成高砂
2400101,新宿
2400104,笹塚
2400105,代田橋
2400106,明大前
2400107,下高井戸
2400108,桜上水
2400109,上北沢
2400110,八幡山
2400111,芦花公園
2400112,千歳烏山
2400113,仙川
2400114,つつじヶ丘
2400115,柴崎
2400116,国領
2400117,布田
2400118,調布
2400119,西調布
2400120,飛田給
2400121,武蔵野台
2400122,多磨霊園
2400123,東府中
2400124,府中
2400125,分倍河原
2400126,中河原
2400127,聖蹟桜ヶ丘
2400128,百草園
2400129,高幡不動
2400130,南平
2400131,平山城址公園
2400132,長沼
2400133,北野
2400134,京王八王子
2400201,調布
2400202,京王多摩川
2400204,京王よみうりランド
2400205,稲城
2400207,京王永山
2400208,京王多摩センター
2400209,京王堀之内
2400210,南大沢
2400211,多摩境
2400301,北野
2400302,京王片倉
2400303,山田
2400304,めじろ台
2400305,狭間
2400306,高尾
2400307,高尾山口
2400401,東府中
2400402,府中競馬正門前
2400501,高幡不動
2400502,多摩動物公園
2400601,渋谷
2400701,新線新宿
2400602,神泉
2400603,駒場東大前
2400604,池ノ上
2400704,笹塚
2400605,下北沢
2400606,新代田
2400607,東松原
2400608,明大前
2400609,永福町
2400610,西永福
2400611,浜田山
2400612,高井戸
2400613,富士見ヶ丘
2400614,久我山
2400615,三鷹台
2400616,井の頭公園
2400617,吉祥寺
2400702,初台
2400703,幡ヶ谷
2500101,新宿
2500102,南新宿
2500103,参宮橋
2500104,代々木八幡
2500105,代々木上原
2500106,東北沢
2500107,下北沢
2500108,世田谷代田
2500109,梅ヶ丘
2500110,豪徳寺
2500111,経堂
2500112,千歳船橋
2500113,祖師ヶ谷大蔵
2500114,成城学園前
2500115,喜多見
2500116,狛江
2500117,和泉多摩川
2500125,鶴川
2500126,玉川学園前
2500127,町田
2500306,小田急永山
2500307,小田急多摩センター
2500308,唐木田
2600101,渋谷
2600102,代官山
2600103,中目黒
2600104,祐天寺
2600105,学芸大学
2600106,都立大学
2600107,自由が丘
2600108,田園調布
2600109,多摩川
2600201,目黒
2600202,不動前
2600203,武蔵小山
2600204,西小山
2600205,洗足
2600206,大岡山
2600207,奥沢
2600208,田園調布
2600209,多摩川
2600301,渋谷
2600302,池尻大橋
2600303,三軒茶屋
2600304,駒沢大学
2600305,桜新町
2600306,用賀
2600307,二子玉川
2600323,つくし野
2600324,すずかけ台
2600325,南町田グランベリーパーク
2600401,大井町
2600402,下神明
2600403,戸越公園
2600404,中延
2600405,荏原町
2600406,旗の台
2600407,北千束
2600408,大岡山
2600409,緑が丘
2600410,自由が丘
2600411,九品仏
2600412,尾山台
2600413,等々力
2600414,上野毛
2600415,二子玉川
2600501,五反田
2600502,大崎広小路
2600503,戸越銀座
2600504,荏原中延
2600505,旗の台
2600506,長原
2600507,洗足池
2600508,石川台
2600509,雪が谷大塚
2600510,御嶽山
2600511,久が原
2600512,千鳥町
2600513,池上
2600514,蓮沼
2600515,蒲田
2600601,多摩川
2600602,沼部
2600603,鵜の木
2600604,下丸子
2600605,武蔵新田
2600606,矢口渡
2600607,蒲田
2600701,三軒茶屋
2600702,西太子堂
2600703,若林
2600704,松陰神社前
2600705,世田谷
2600706,上町
2600707,宮の坂
2600708,山下
2600709,松原
2600710,下高井戸
2700101,泉岳寺
2700102,品川
2700103,北品川
2700104,新馬場
2700105,青物横丁
2700106,鮫洲
2700107,立会川
2700108,大森海岸
2700109,平和島
2700110,大森町
2700111,梅屋敷
2700112,京急蒲田
2700113,雑色
2700114,六郷土手
2700201,京急蒲田
2700202,糀谷
2700203,大鳥居
2700204,穴守稲荷
2700205,天空橋
2700207,羽田空港第3ターミナル
2700206,羽田空港第1・第2ターミナル
2800101,浅草
2800102,田原町
2800103,稲荷町
2800104,上野
2800105,上野広小路
2800106,末広町
2800107,神田
2800108,三越前
2800109,日本橋
2800110,京橋
2800111,銀座
2800112,新橋
2800113,虎ノ門
2800114,溜池山王
2800115,赤坂見附
2800116,青山一丁目
2800117,外苑前
2800118,表参道
2800119,渋谷
2800201,池袋
2800202,新大塚
2800203,茗荷谷
2800204,後楽園
2800205,本郷三丁目
2800206,御茶ノ水
2800207,淡路町
2800208,大手町
2800209,東京
2800210,銀座
2800211,霞ケ関
2800212,国会議事堂前
2800213,赤坂見附
2800214,四ツ谷
2800215,四谷三丁目
2800216,新宿御苑前
2800217,新宿三丁目
2800218,新宿
2800219,西新宿
2800220,中野坂上
2800221,新中野
2800222,東高円寺
2800223,新高円寺
2800224,南阿佐ケ谷
2800225,荻窪
2800226,中野新橋
2800227,中野富士見町
2800228,方南町
2800301,北千住
2800302,南千住
2800303,三ノ輪
2800304,入谷
2800305,上野
2800306,仲御徒町
2800307,秋葉原
2800308,小伝馬町
2800309,人形町
2800310,茅場町
2800311,八丁堀
2800312,築地
2800313,東銀座
2800314,銀座
2800315,日比谷
2800316,霞ケ関
2800322,虎ノ門ヒルズ
2800317,神谷町
2800318,六本木
2800319,広尾
2800320,恵比寿
2800321,中目黒
2800401,中野
2800402,落合
2800403,高田馬場
2800404,早稲田
2800405,神楽坂
2800406,飯田橋
2800407,九段下
2800408,竹橋
2800409,大手町
2800410,日本橋
2800411,茅場町
2800412,門前仲町
2800413,木場
2800414,東陽町
2800415,南砂町
2800416,西葛西
2800417,葛西
2800501,北綾瀬
2800502,綾瀬
2800503,北千住
2800504,町屋
2800505,西日暮里
2800506,千駄木
2800507,根津
2800508,湯島
2800509,新御茶ノ水
2800510,大手町
2800511,二重橋前
2800512,日比谷
2800513,霞ケ関
2800514,国会議事堂前
2800515,赤坂
2800516,乃木坂
2800517,表参道
2800518,明治神宮前〈原宿〉
2800519,代々木公園
2800520,代々木上原
2800602,地下鉄成増
2800603,地下鉄赤塚
2800604,平和台
2800605,氷川台
2800606,小竹向原
2800607,千川
2800608,要町
2800609,池袋
2800610,東池袋
2800611,護国寺
2800612,江戸川橋
2800613,飯田橋
2800614,市ケ谷
2800615,麹町
2800616,永田町
2800617,桜田門
2800618,有楽町
2800619,銀座一丁目
2800620,新富町
2800621,月島
2800622,豊洲
2800623,辰巳
2800624,新木場
2800801,渋谷
2800802,表参道
2800803,青山一丁目
2800804,永田町
2800805,半蔵門
2800806,九段下
2800807,神保町
2800808,大手町
2800809,三越前
2800810,水天宮前
2800811,清澄白河
2800814,住吉
2800812,錦糸町
2800813,押上〈スカイツリー前〉
2800901,赤羽岩淵
2800902,志茂
2800903,王子神谷
2800904,王子
2800905,西ケ原
2800906,駒込
2800907,本駒込
2800908,東大前
2800909,後楽園
2800910,飯田橋
2800911,市ケ谷
2800912,四ツ谷
2800913,永田町
2800914,溜池山王
2800915,六本木一丁目
2800916,麻布十番
2800917,白金高輪
2800918,白金台
2800919,目黒
2801002,地下鉄成増
2801003,地下鉄赤塚
2801004,平和台
2801005,氷川台
2801006,小竹向原
2801007,千川
2801008,要町
2801009,池袋
2801010,雑司が谷
2801011,西早稲田
2801012,東新宿
2801013,新宿三丁目
2801014,北参道
2801015,明治神宮前〈原宿〉
2801016,渋谷
9930101,都庁前
9930102,新宿西口
9930103,東新宿
9930104,若松河田
9930105,牛込柳町
9930106,牛込神楽坂
9930107,飯田橋
9930108,春日
9930109,本郷三丁目
9930110,上野御徒町
9930111,新御徒町
9930112,蔵前
9930113,両国
9930114,森下
9930115,清澄白河
9930116,門前仲町
9930117,月島
9930118,勝どき
9930119,築地市場
9930120,汐留
9930121,大門
9930122,赤羽橋
9930123,麻布十番
9930124,六本木
9930125,青山一丁目
9930126,国立競技場
9930127,代々木
9930128,新宿
9930129,西新宿五丁目
9930130,中野坂上
9930131,東中野
9930132,中井
9930133,落合南長崎
9930134,新江古田
9930135,練馬
9930136,豊島園
9930137,練馬春日町
9930138,光が丘
9930201,西馬込
9930202,馬込
9930203,中延
9930204,戸越
9930205,五反田
9930206,高輪台
9930207,泉岳寺
9930208,三田
9930209,大門
9930210,新橋
9930211,東銀座
9930212,宝町
9930213,日本橋
9930214,人形町
9930215,東日本橋
9930216,浅草橋
9930217,蔵前
9930218,浅草
9930219,本所吾妻橋
9930220,押上（スカイツリー前）
9930301,目黒
9930302,白金台
9930303,白金高輪
9930304,三田
9930305,芝公園
9930306,御成門
9930307,内幸町
9930308,日比谷
9930309,大手町
9930310,神保町
9930311,水道橋
9930312,春日
9930313,白山
9930314,千石
9930315,巣鴨
9930316,西巣鴨
9930317,新板橋
9930318,板橋区役所前
9930319,板橋本町
9930320,本蓮沼
9930321,志村坂上
9930322,志村三丁目
9930323,蓮根
9930324,西台
9930325,高島平
9930326,新高島平
9930327,西高島平
9930401,新宿
9930402,新宿三丁目
9930403,曙橋
9930404,市ヶ谷
9930405,九段下
9930406,神保町
9930407,小川町
9930408,岩本町
9930409,馬喰横山
9930410,浜町
9930411,森下
9930412,菊川
9930413,住吉
9930414,西大島
9930415,大島
9930416,東大島
9930417,船堀
9930418,一之江
9930419,瑞江
9930420,篠崎
9930501,三ノ輪橋
9930502,荒川一中前
9930503,荒川区役所前
9930504,荒川二丁目
9930505,荒川七丁目
9930506,町屋駅前
9930507,町屋二丁目
9930508,東尾久三丁目
9930509,熊野前
9930510,宮ノ前
9930511,小台
9930512,荒川遊園地前
9930513,荒川車庫前
9930514,梶原
9930515,栄町
9930516,王子駅前
9930517,飛鳥山
9930518,滝野川一丁目
9930519,西ヶ原四丁目
9930520,新庚申塚
9930521,庚申塚
9930522,巣鴨新田
9930523,大塚駅前
9930524,向原
9930525,東池袋四丁目
9930526,都電雑司ヶ谷
9930527,鬼子母神前
9930528,学習院下
9930529,面影橋
9930530,早稲田
9930701,赤羽岩淵
9930901,秋葉原
9930902,新御徒町
9930903,浅草
9930904,南千住
9930905,北千住
9930906,青井
9930907,六町
9931101,新橋
9931102,汐留
9931103,竹芝
9931104,日の出
9931105,芝浦ふ頭
9931106,お台場海浜公園
9931107,台場
9931108,東京国際クルーズターミナル
9931109,テレコムセンター
9931110,青海
9931111,東京ビッグサイト
9931112,有明
9931113,有明テニスの森
9931114,市場前
9931115,新豊洲
9931116,豊洲
9933401,多摩センター
9933402,松が谷
9933403,大塚・帝京大学
9933404,中央大学・明星大学
9933405,多摩動物公園
9933406,程久保
9933407,高幡不動
9933408,万願寺
9933409,甲州街道
9933410,柴崎体育館
9933411,立川南
9933412,立川北
9933413,高松
9933414,立飛
9933415,泉体育館
9933416,砂川七番
9933417,玉川上水
9933418,桜街道
9933419,上北台
9933601,浜松町
9933602,天王洲アイル
9933603,大井競馬場前
9933604,流通センター
9933605,昭和島
9933606,整備場
9933607,天空橋
9933611,羽田空港第3ターミナル
9933608,新整備場
9933609,羽田空港第1ターミナル
9933610,羽田空港第2ターミナル
9933701,新木場
9933702,東雲
9933703,国際展示場
9933704,東京テレポート
9933705,天王洲アイル
9933706,品川シーサイド
9933707,大井町
9933708,大崎
9934001,京成高砂
9934002,新柴又
9934201,日暮里
9934202,西日暮里
9934203,赤土小学校前
9934204,熊野前
9934205,足立小台
9934206,扇大橋
9934207,高野
9934208,江北
9934209,西新井大師西
9934210,谷在家
9934211,舎人公園
9934212,舎人
9934213,見沼代親水公園
